@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
3873,'2018/02/18 22:00:52:715',15,123.944443,-171.734772,989.533752,64.77,25.4
3874,'2018/02/18 22:00:52:748',15,103.504143,-200.404297,1021.152893,64.77,25.4
3875,'2018/02/18 22:00:52:750',15,103.504143,-200.404297,1021.152893,64.77,25.4
3876,'2018/02/18 22:00:52:785',15,126.336189,-169.649521,990.357666,64.77,25.4
3877,'2018/02/18 22:00:52:787',15,126.336189,-169.649521,990.357666,64.77,25.4
3878,'2018/02/18 22:00:52:805',15,108.252464,-197.79361,1023.437927,64.77,25.4
3879,'2018/02/18 22:00:52:836',15,132.305542,-156.927643,991.113708,64.77,25.4
3880,'2018/02/18 22:00:52:850',15,132.305542,-156.927643,991.113708,64.77,25.4
3881,'2018/02/18 22:00:52:881',15,130.455048,-159.66626,989.869385,64.77,25.4
3882,'2018/02/18 22:00:52:883',15,130.455048,-159.66626,989.869385,64.77,25.4
3883,'2018/02/18 22:00:52:916',15,133.785446,-153.524109,991.31665,64.77,25.4
3884,'2018/02/18 22:00:52:918',15,133.785446,-153.524109,991.31665,64.77,25.4
3885,'2018/02/18 22:00:52:949',15,135.213577,-147.398468,991.716431,64.77,25.4
3886,'2018/02/18 22:00:52:951',15,135.213577,-147.398468,991.716431,64.77,25.4
3887,'2018/02/18 22:00:52:983',15,111.179756,-189.233612,1007.412659,64.77,25.4
3888,'2018/02/18 22:00:52:985',15,111.179756,-189.233612,1007.412659,64.77,25.4
3889,'2018/02/18 22:00:53:017',15,132.453354,-150.413696,991.042603,64.77,25.4
3890,'2018/02/18 22:00:53:019',15,132.453354,-150.413696,991.042603,64.77,25.4
3891,'2018/02/18 22:00:53:053',15,134.585999,-150.642548,992.781921,64.77,25.4
3892,'2018/02/18 22:00:53:055',15,134.585999,-150.642548,992.781921,64.77,25.4
3893,'2018/02/18 22:00:53:074',15,134.079941,-153.097824,992.834839,64.77,25.4
3894,'2018/02/18 22:00:53:107',15,133.94043,-154.392807,991.550232,64.77,25.4
3895,'2018/02/18 22:00:53:123',15,133.94043,-154.392807,991.550232,64.77,25.4
3896,'2018/02/18 22:00:53:141',15,133.246338,-154.179688,989.951294,64.77,25.4
3897,'2018/02/18 22:00:53:175',15,133.677429,-154.489944,988.903137,64.77,25.4
3898,'2018/02/18 22:00:53:177',15,133.677429,-154.489944,988.903137,64.77,25.4
3899,'2018/02/18 22:00:53:181',15,133.677429,-154.489944,988.903137,64.77,25.4
3900,'2018/02/18 22:00:53:209',15,134.515076,-153.870422,989.203491,64.77,25.4
3901,'2018/02/18 22:00:53:241',15,111.222672,-190.976578,1008.526123,64.77,25.4
3902,'2018/02/18 22:00:53:243',15,111.222672,-190.976578,1008.526123,64.77,25.4
3903,'2018/02/18 22:00:53:247',15,111.222672,-190.976578,1008.526123,64.77,25.4
3904,'2018/02/18 22:00:53:275',15,137.480865,-163.036606,989.711487,64.77,25.4
3905,'2018/02/18 22:00:53:306',15,110.935173,-191.976089,1010.035095,64.77,25.4
3906,'2018/02/18 22:00:53:321',15,110.935173,-191.976089,1010.035095,64.77,25.4
3907,'2018/02/18 22:00:53:353',15,138.519745,-170.657532,986.531189,64.77,25.4
3908,'2018/02/18 22:00:53:355',15,138.519745,-170.657532,986.531189,64.77,25.4
3909,'2018/02/18 22:00:53:374',15,138.711014,-187.335266,978.053528,64.77,25.4
3910,'2018/02/18 22:00:53:406',15,100.290573,-200.248322,1005.776245,64.77,25.4
3911,'2018/02/18 22:00:53:421',15,100.290573,-200.248322,1005.776245,64.77,25.4
3912,'2018/02/18 22:00:53:453',15,95.762115,-200.764877,1011.146912,64.77,25.4
3913,'2018/02/18 22:00:53:455',15,95.762115,-200.764877,1011.146912,64.77,25.4
3914,'2018/02/18 22:00:53:475',15,144.481323,-190.907608,984.626892,64.77,25.4
3915,'2018/02/18 22:00:53:507',15,87.694229,-205.842331,1006.470459,64.77,25.4
3916,'2018/02/18 22:00:53:524',15,87.694229,-205.842331,1006.470459,64.77,25.4
3917,'2018/02/18 22:00:53:543',15,142.989624,-195.149368,982.327332,64.77,25.4
3918,'2018/02/18 22:00:53:548',15,142.989624,-195.149368,982.327332,64.77,25.4
3919,'2018/02/18 22:00:53:576',15,147.837418,-195.762314,982.512756,64.77,25.4
3920,'2018/02/18 22:00:53:581',15,147.837418,-195.762314,982.512756,64.77,25.4
3921,'2018/02/18 22:00:53:610',15,106.464905,-196.983444,1021.171448,64.77,25.4
3922,'2018/02/18 22:00:53:615',15,106.464905,-196.983444,1021.171448,64.77,25.4
3923,'2018/02/18 22:00:53:646',15,147.884796,-198.33342,982.424744,64.77,25.4
3924,'2018/02/18 22:00:53:649',15,147.884796,-198.33342,982.424744,64.77,25.4
3925,'2018/02/18 22:00:53:682',15,148.641632,-202.273499,981.937622,64.77,25.4
3926,'2018/02/18 22:00:53:684',15,148.641632,-202.273499,981.937622,64.77,25.4
3927,'2018/02/18 22:00:53:716',15,150.651306,-210.370987,983.57666,64.77,25.4
3928,'2018/02/18 22:00:53:717',15,150.651306,-210.370987,983.57666,64.77,25.4
3929,'2018/02/18 22:00:53:748',15,148.601425,-207.559479,983.407471,64.77,25.4
3930,'2018/02/18 22:00:53:750',15,148.601425,-207.559479,983.407471,64.77,25.4
3931,'2018/02/18 22:00:53:785',15,137.265366,-188.153671,977.91333,64.77,25.4
3932,'2018/02/18 22:00:53:787',15,137.265366,-188.153671,977.91333,64.77,25.4
3933,'2018/02/18 22:00:53:820',15,137.532104,-173.564514,985.283569,64.77,25.4
3934,'2018/02/18 22:00:53:822',15,137.532104,-173.564514,985.283569,64.77,25.4
3935,'2018/02/18 22:00:53:842',15,141.884247,-166.595718,987.442322,64.77,25.4
3936,'2018/02/18 22:00:53:848',15,141.884247,-166.595718,987.442322,64.77,25.4
3937,'2018/02/18 22:00:53:874',15,145.857849,-162.401688,989.558289,64.77,25.4
3938,'2018/02/18 22:00:53:908',15,151.9888,-161.227982,999.101074,64.77,25.4
3939,'2018/02/18 22:00:53:910',15,151.9888,-161.227982,999.101074,64.77,25.4
3940,'2018/02/18 22:00:53:914',15,151.9888,-161.227982,999.101074,64.77,25.4
3941,'2018/02/18 22:00:53:943',15,157.404953,-162.429169,1007.239319,64.77,25.4
3942,'2018/02/18 22:00:53:948',15,157.404953,-162.429169,1007.239319,64.77,25.4
3943,'2018/02/18 22:00:53:977',15,159.900696,-163.204956,1010.265015,64.77,25.4
3944,'2018/02/18 22:00:53:982',15,159.900696,-163.204956,1010.265015,64.77,25.4
3945,'2018/02/18 22:00:54:012',15,160.980133,-163.23938,1010.809937,64.77,25.4
3946,'2018/02/18 22:00:54:015',15,160.980133,-163.23938,1010.809937,64.77,25.4
3947,'2018/02/18 22:00:54:050',15,122.656303,-194.013321,1031.334961,64.77,25.4
3948,'2018/02/18 22:00:54:052',15,122.656303,-194.013321,1031.334961,64.77,25.4
3949,'2018/02/18 22:00:54:074',15,117.07164,-192.496262,1014.699829,64.77,25.4
3950,'2018/02/18 22:00:54:107',15,126.898071,-182.779602,1022.541687,64.77,25.4
3951,'2018/02/18 22:00:54:122',15,126.898071,-182.779602,1022.541687,64.77,25.4
